name,lat,long,within
Killala,54.21512635,-9.2239054,Tirawley
Inchigeelagh,51.83740274,-9.195885288,West Muskerry
Crossboyne,53.67660259,-8.985320927,Clanmorris
Fanlobbus,51.73407892,-9.132545485,East Carbery (West Division)
Ardagh,54.12587651,-9.225572715,Shanid
Shanagolden,52.57850045,-9.101287244,Shanid
Myross,51.54755032,-9.147597346,West Carbery (East Division)
Templemore,53.91605314,-9.121535271,Gallen
Attymass,54.04585658,-9.08459958,Gallen
Kilmeen,52.1913867,-9.129141261,Duhallow
Drumcliff,52.84209672,-9.025268487,Islands
Clonfert,52.25542164,-9.053231275,Duhallow
Ruan,52.94209428,-8.985145227,Inchiquin
St Nicholas,53.28782281,-9.02721548,Galway
Killasser,53.9917978,-8.975071719,Gallen
Kilcolman,52.14261488,-9.722253672,Clanmorris
Kinvarradoorus,53.13568373,-8.95974383,Kiltartan
Abbey,53.12058513,-9.075612377,Burren
Kilglass,54.22506932,-9.027980933,Tireragh
Castleconnor,54.17224282,-9.057106896,Tireragh
Kilmacteige,54.05971329,-8.892084889,Leyny
Annaghdown,53.39339443,-9.010957669,Clare
Killinny,53.10187916,-8.936001405,Kiltartan
Nantinan,52.54876418,-9.001339494,Connello Lower
Mahoonagh,52.40488185,-8.981923468,Glenquin
Kilcorney,53.04962606,-9.13489437,West Muskerry
Askeaton,52.61083558,-8.963910351,Connello Lower
Kilcolgan,53.18761565,-8.858853195,Dunkellin
Kilmacshalgan,54.19815356,-8.884476734,Tireragh
Killeenavarra,53.1625989,-8.896520931,Dunkellin
Rathkeale,52.50060012,-8.930790485,Connello Lower
Tomfinlough,52.7707855,-8.855574976,Bunratty Lower
Kilbarron,52.99218898,-8.259555827,Lower Ormond
Inver,54.83444466,-5.83833936,Banagh
Kilraghtis,52.89206767,-8.92770899,Bunratty Upper
Doora,52.83664747,-8.914480103,Bunratty Upper
Inchicronan,52.94307691,-8.857445597,Bunratty Upper
Drumline,52.71891837,-8.862210677,Bunratty Lower
Oola,52.54046977,-8.273359462,Coonagh
Bekan,53.76330439,-8.814268085,Costello
Macroom,51.9609351,-8.950027973,West Muskerry
Knock,53.79605834,-8.918840628,Costello
Tuam,53.5288775,-8.815267025,Clare
St Finbar's,51.87460422,-8.493755481,Cork
Cloncagh,52.44736014,-8.908597215,Connello Upper
Lackagh,53.17307892,-7.044384223,Clare
Kilcornan,52.62371238,-8.888489555,Kenry
Aghabulloge,51.96747944,-8.8603606,East Muskerry
Ballingarry,52.4623766,-8.803533986,Connello Upper
Emly,52.46470215,-8.350572376,Clanwilliam
Clooney,52.9184307,-9.242773708,Bunratty Upper
Kilvine,53.67615534,-8.869499205,Clanmorris
Beagh,53.01359987,-8.823531909,Kiltartan
Athenry,53.31327055,-8.792806782,Dunkellin
Annagh,53.73000191,-8.772187789,Costello
Cloghprior,52.95147362,-8.203698435,Lower Ormond
Magourney,51.92048505,-8.776871455,East Muskerry
Fohanagh,53.38887663,-8.385393128,Kilconnell
Adare,52.57064089,-8.791911853,Kenry
Cummer,53.4492909,-8.87097242,Clare
Achonry,54.07809201,-8.753821182,Leyny
Croagh,52.53317241,-8.86913873,Connello Lower
Kilfintinan,52.70243653,-8.766830039,Bunratty Lower
Mallow,52.14506353,-8.647101169,Fermoy
Kilkeedy,53.02137184,-8.944283224,Pubblebrien
Templeomalus,51.61390682,-8.837747179,Ibane and Barryroe
Glencolumbkille,54.69905411,-8.685352658,Banagh
Kilbrin,52.21775509,-8.85137229,Duhallow
Bunratty,52.69969265,-8.833756927,Bunratty Lower
Feenagh,52.72964687,-8.806728868,Bunratty Lower
Quin,52.81742343,-8.829280001,Bunratty Upper
Kilmurry,52.80303671,-9.369447059,Bunratty Lower
Kildimo,52.62305356,-8.811036646,Kenry
Kilnarath,52.72913198,-8.336128068,Owney and Arra
Dunmore,53.60760058,-8.747304478,Dunmore
Kilfinaghta,52.75095469,-8.751830334,Bunratty Lower
Clonrush,52.95083023,-8.358420477,Leitrim
Tulla,52.88822995,-8.753655461,Tulla Upper
Kilbeacanty,53.05252201,-8.746966011,Kiltartan
Skreen,54.22757047,-8.721628591,Tireragh
Corcomohide,52.41100602,-8.794063802,Connello Upper
Abbeyknockmoy,53.42596845,-8.73704432,Tiaquin
Killoran,54.16430298,-8.646080005,Leyny
Isertkelly,53.16818662,-8.703820792,Loughrea
Kiltullagh,53.27815136,-8.62692321,Castlereagh
Churchtown,52.26779601,-8.754633421,Orrery and Kilmore
Killeely,53.21440737,-8.815180973,Bunratty Lower
Templetrine,51.66357066,-8.622593176,East Carbery (East Division)
Tibohine,53.8440566,-8.548712562,Frenchpark
Crecora,52.58473391,-8.68202243,Pubblebrien
Ludden,52.59250451,-8.531368619,Clanwilliam
Kilnoe,52.875096,-8.615748252,Tulla Upper
Boyounagh,53.6208403,-8.569530332,Ballymoe
Athlacca,52.46122737,-8.639615019,Coshma
Kilshannig,52.07866537,-8.747570402,Duhallow
Kilconickny,53.21679957,-8.614284148,Dunkellin
Croom,52.51685674,-8.718086168,Coshma
Feakle,52.97470968,-8.659691586,Tulla Upper
Kilseily,52.78117142,-8.654022287,Tulla Lower
St Munchins,52.69746513,-8.663009168,North Liberties
Killeenadeema,53.10982906,-8.591834231,Loughrea
Clonkeen,53.36241806,-8.598426555,Tiaquin
Templetogher,53.68002081,-8.591432244,Ballymoe
Castlemore,53.89867789,-8.605210671,Frenchpark
Kilbreedy Minor,52.38481789,-8.624350981,Coshma
Kilcar,54.66648816,-8.566046997,Banagh
Rahan,52.10947522,-8.570322802,Fermoy
Lickerrig,53.23853169,-8.65004938,Athenry
Grenagh,52.01506622,-8.611081988,Barretts
Leighmoney,51.74587543,-8.606939844,Kinalea
St. Patrick's,52.66909335,-8.604021413,Clanwilliam
Inishkeel,54.835557,-8.231870775,Banagh
Rathcormack,52.08003991,-8.33115313,Barrymore
Bridgetown,52.13869561,-8.463747605,Fermoy
Kilkerrin,53.55291868,-8.54885281,Tiaquin
Killokenne,52.79287779,-8.580431111,Tulla Lower
Kilvarnet,54.13466589,-8.582858172,Leyny
Solloghod-More,52.5282334,-8.209655808,Clanwilliam
St Peter's & St Paul's,52.40231881,-8.577217894,Kilmallock
Currykippane,51.91128899,-8.549982802,Cork
Kilkeevin,53.76548129,-8.530383122,Castlereagh
Kilfree,53.98731642,-8.517709804,Coolavin
Grange,53.29307638,-8.52355261,Kilconnell
Whitechurch,52.1044063,-7.739426372,Barretts
Caherconlish,52.59698168,-8.455329477,Clanwilliam
Ringcurran,51.71600256,-8.514805179,Kinsale
Carrigparson,52.62518506,-8.531755503,Clanwilliam
Kilmacowen,54.23828911,-8.523456904,Carbury
Kilcroan,53.67961137,-8.492759291,Ballymoe
Ballymacward,53.3832212,-8.498296457,Kilconnell
Kilbreedy Major,52.40922575,-8.521191208,Coshlea
Upper Killybegs,54.66350482,-8.464264403,Banagh
Killoscobe,53.4318681,-8.557339422,Tiaquin
Athneasy,52.42283646,-8.489995364,Smallcounty
Caherelly,52.55238913,-8.504662963,Clanwilliam
Ballysadare,54.18231873,-8.524027081,Tirerrill
Killeenagarriff,52.66635512,-8.488211478,Clanwilliam
Templecrone,54.96866927,-8.357374711,Boylagh
St. John's,54.24834562,-8.46404437,Carbury
Killian,53.5189886,-8.42875375,Killian
Clontead,51.72806877,-8.521868056,Kinsale
Ahamlish,54.40908938,-8.481116361,Carbury
Moynoe,52.96466608,-8.521502022,Tulla Upper
Ballybrood,52.5582036,-8.454219897,Clanwilliam
Drumatemple,53.6975303,-8.414984088,Ballymoe
Killaan,53.30156149,-8.480390987,Kilconnell
Ballinard,52.52347349,-8.454084323,Smallcounty
Cullen,51.77141863,-8.471203265,Kinalea
Duniry,53.15129699,-8.416219633,Leitrim
Killosolan,53.4469431,-8.429196284,Tiaquin
Kilreekil,53.23944665,-8.47260626,Leitrim
Kilvellane,52.70185459,-8.389865622,Owney and Arra
Kilcummer,52.14543864,-8.435648788,Fermoy
Kilmacallan,54.12169867,-8.359916366,Tirerrill
Killaghtee,54.66183863,-8.374030338,Banagh
Inishcaltra,52.94742826,-8.451885336,Leitrim
Ardcarn,54.0019842,-8.186295295,Boyle
Kilfrush,52.45144398,-8.416695175,Smallcounty
Rossinver,54.41633967,-8.253094832,Carbury
Tuoghcluggin,52.54956159,-8.295185616,Coonagh
Dromkeen,52.57506466,-8.402927694,Clanwilliam
Castletownarra,52.88329168,-8.373914957,Owney and Arra
