NAME_EN,LATITUDE,LONGITUDE,CO_NAME
Tullygarvey,54.0458009791,-7.181530248,Cavan
Tirawley,54.1275135454,-9.3698009795,Mayo
Inchiquin,52.94182094,-9.0679911582,Clare
Rathvilly,52.8494816158,-6.667159804,Carlow
Owney and Arra,52.7789189882,-8.3375056075,Tipperary
Dunkerron North,52.0099266713,-9.7422116217,Kerry
Glenarm Upper,54.871397741,-5.9049320051,Antrim
Ballaghkeen South,52.4559826088,-6.4452856633,Wexford
Coolavin,53.9680597405,-8.4788756599,Sligo
Shillelagh,52.7582450676,-6.5599073511,Wicklow
Dungannon Middle,54.5145379012,-6.7814964402,Tyrone
Glenquin,52.3902985212,-9.111378451,Limerick
Coolock,53.4029268614,-6.1981699796,Dublin
Longford,53.1926616012,-8.208220166,Galway
Fore,53.7331938195,-7.1449165019,Meath
Balrothery West,53.5468240588,-6.3250122603,Dublin
Kenry,52.6277471477,-8.8639882892,Limerick
Ratoath,53.4955689358,-6.4770161112,Meath
Shelburne,52.2690873131,-6.8940088934,Wexford
Ballynahinch,53.4742484578,-9.8847190357,Galway
Shillelogher,52.5815678625,-7.2964659457,Kilkenny
Clonderalaw,52.6762552,-9.2254900685,Clare
Longford,53.7982825278,-7.7666209512,Longford
Tiaquin,53.4438569648,-8.6001823714,Galway
Barony of Moycarn,53.3273990236,-8.1164420223,
Omagh East,54.5469921283,-7.2893503178,Tyrone
Bunratty Lower,52.7274591768,-8.8204760185,Clare
Bunratty Upper,52.8862013081,-8.8741255201,Clare
Tulla Lower,52.7982743982,-8.5784897099,Clare
Duleek Lower,53.6765709611,-6.4229674591,
Ormond Upper,52.8178844677,-8.1162579771,Tipperary
,51.8905825323,-8.4790174307,
Ballymoe,53.6215422211,-8.5681636884,Galway
Clare,53.428952711,-8.9502763946,Galway
Clonmacnowen,53.3217447504,-8.2880395639,Galway
Callan,52.5474526697,-7.4018848924,Kilkenny
Kilconnell,53.3401476663,-8.4543118112,Galway
Killian,53.4939172774,-8.3734984044,Galway
Lordship of Newry,54.2019043184,-6.287242917,Down
