name,lat,long,within
Touaghty,53.7289872191,-9.1883374396,Carra
Drishane,52.0454824833,-9.0971341384,West Muskerry
Kilnamona,52.8698307388,-9.0922922017,Inchiquin
Kilmoremoy,54.1138674551,-9.1330659103,Tirawley
Gleninagh,53.1333645747,-9.2405899515,Burren
Drumcreehy,53.1129344067,-9.1367096695,Burren
Kilmainemore,53.5829284689,-9.1035486678,Kilmaine
Rosslee,53.765949927,-9.1740278913,Carra
Killala,54.2151263537,-9.2239053998,Tirawley
Inchigeelagh,51.837402736,-9.1958852877,West Muskerry
Crossboyne,53.6766025888,-8.9853209269,Clanmorris
Fanlobbus,51.7340789233,-9.1325454846,East Carbery (West Division)
Ardagh,54.1258765135,-9.2255727149,Shanid
Shanagolden,52.5785004505,-9.1012872443,Shanid
Myross,51.5475503152,-9.1475973457,West Carbery (East Division)
Templemore,53.9160531418,-9.1215352709,Gallen
Attymass,54.0458565756,-9.0845995795,Gallen
Kilmeen,52.1913866953,-9.1291412606,Duhallow
Drumcliff,52.8420967164,-9.0252684867,Islands
Clonfert,52.2554216361,-9.0532312745,Duhallow
Ruan,52.942094276,-8.9851452272,Inchiquin
St Nicholas,53.2878228126,-9.0272154798,Galway
Killasser,53.9917977992,-8.9750717192,Gallen
Kilcolman,52.1426148817,-9.7222536717,Clanmorris
Kinvarradoorus,53.1356837263,-8.9597438301,Kiltartan
Abbey,53.1205851347,-9.0756123767,Burren
Kilglass,54.2250693238,-9.027980933,Tireragh
Castleconnor,54.1722428194,-9.0571068958,Tireragh
Kilmacteige,54.059713285,-8.8920848892,Leyny
Annaghdown,53.3933944251,-9.0109576686,Clare
Killinny,53.1018791571,-8.9360014046,Kiltartan
Nantinan,52.5487641755,-9.0013394943,Connello Lower
Mahoonagh,52.4048818538,-8.9819234675,Glenquin
Kilcorney,53.0496260629,-9.1348943702,West Muskerry
Askeaton,52.610835581,-8.9639103512,Connello Lower
Kilcolgan,53.1876156497,-8.8588531949,Dunkellin
Kilmacshalgan,54.198153555,-8.8844767336,Tireragh
Killeenavarra,53.1625989046,-8.8965209314,Dunkellin
Rathkeale,52.5006001242,-8.9307904851,Connello Lower
Tomfinlough,52.7707854984,-8.8555749755,Bunratty Lower
Kilbarron,52.9921889807,-8.2595558274,Lower Ormond
Inver,54.8344446592,-5.8383393604,Banagh
Kilraghtis,52.8920676701,-8.9277089903,Bunratty Upper
Doora,52.8366474669,-8.914480103,Bunratty Upper
Inchicronan,52.9430769107,-8.857445597,Bunratty Upper
Drumline,52.7189183719,-8.8622106771,Bunratty Lower
Oola,52.5404697702,-8.2733594622,Coonagh
Bekan,53.7633043893,-8.8142680847,Costello
Macroom,51.9609350962,-8.9500279733,West Muskerry
Knock,53.7960583373,-8.9188406282,Costello
Tuam,53.5288774972,-8.8152670252,Clare
St Finbar's,51.874604219,-8.4937554807,Cork
Cloncagh,52.4473601426,-8.9085972149,Connello Upper
Lackagh,53.1730789192,-7.0443842225,Clare
Kilcornan,52.6237123825,-8.888489555,Kenry
Aghabulloge,51.967479436,-8.8603605996,East Muskerry
Ballingarry,52.4623765992,-8.8035339855,Connello Upper
Emly,52.464702154,-8.3505723762,Clanwilliam
Clooney,52.918430703,-9.2427737075,Bunratty Upper
Kilvine,53.676155339,-8.8694992051,Clanmorris
Beagh,53.0135998735,-8.8235319091,Kiltartan
Athenry,53.3132705527,-8.7928067818,Dunkellin
Annagh,53.7300019066,-8.7721877892,Costello
Cloghprior,52.9514736205,-8.2036984349,Lower Ormond
Magourney,51.9204850499,-8.7768714547,East Muskerry
Fohanagh,53.3888766259,-8.385393128,Kilconnell
Adare,52.5706408853,-8.7919118526,Kenry
Cummer,53.4492908971,-8.8709724195,Clare
Achonry,54.0780920066,-8.7538211817,Leyny
Croagh,52.5331724101,-8.86913873,Connello Lower
Kilfintinan,52.7024365331,-8.7668300394,Bunratty Lower
Mallow,52.1450635277,-8.6471011686,Fermoy
Kilkeedy,53.0213718363,-8.944283224,Pubblebrien
Templeomalus,51.6139068185,-8.8377471793,Ibane and Barryroe
Glencolumbkille,54.6990541137,-8.6853526575,Banagh
Kilbrin,52.217755091,-8.8513722901,Duhallow
Bunratty,52.6996926497,-8.8337569273,Bunratty Lower
Feenagh,52.7296468659,-8.8067288676,Bunratty Lower
Quin,52.8174234312,-8.8292800008,Bunratty Upper
Kilmurry,52.8030367107,-9.3694470588,Bunratty Lower
Kildimo,52.6230535581,-8.811036646,Kenry
Kilnarath,52.7291319812,-8.3361280681,Owney and Arra
Dunmore,53.6076005757,-8.7473044781,Dunmore
Kilfinaghta,52.7509546906,-8.7518303337,Bunratty Lower
Clonrush,52.95083023,-8.3584204774,Leitrim
Tulla,52.8882299463,-8.7536554608,Tulla Upper
Kilbeacanty,53.052522007,-8.7469660112,Kiltartan
Skreen,54.227570471,-8.7216285911,Tireragh
Corcomohide,52.4110060155,-8.7940638023,Connello Upper
Abbeyknockmoy,53.4259684538,-8.7370443204,Tiaquin
Killoran,54.1643029782,-8.6460800046,Leyny
Isertkelly,53.1681866201,-8.7038207916,Loughrea
Kiltullagh,53.2781513603,-8.6269232098,Castlereagh
Churchtown,52.2677960056,-8.7546334206,Orrery and Kilmore
Killeely,53.2144073698,-8.815180973,Bunratty Lower
Templetrine,51.6635706593,-8.6225931764,East Carbery (East Division)
Tibohine,53.8440565975,-8.5487125621,Frenchpark
Crecora,52.5847339126,-8.6820224296,Pubblebrien
Ludden,52.5925045132,-8.5313686185,Clanwilliam
Kilnoe,52.8750959961,-8.6157482524,Tulla Upper
Boyounagh,53.6208402955,-8.5695303316,Ballymoe
Athlacca,52.4612273671,-8.639615019,Coshma
Kilshannig,52.0786653742,-8.7475704019,Duhallow
Kilconickny,53.216799565,-8.6142841477,Dunkellin
Croom,52.5168567449,-8.7180861679,Coshma
Feakle,52.9747096827,-8.6596915859,Tulla Upper
Kilseily,52.7811714189,-8.6540222868,Tulla Lower
St Munchins,52.6974651343,-8.6630091676,North Liberties
Killeenadeema,53.109829062,-8.5918342311,Loughrea
Clonkeen,53.3624180625,-8.5984265547,Tiaquin
Templetogher,53.6800208056,-8.5914322443,Ballymoe
Castlemore,53.8986778881,-8.605210671,Frenchpark
Kilbreedy Minor,52.384817885,-8.6243509808,Coshma
Kilcar,54.6664881619,-8.5660469973,Banagh
Rahan,52.1094752226,-8.5703228017,Fermoy
Lickerrig,53.2385316866,-8.6500493798,Athenry
Grenagh,52.0150662189,-8.611081988,Barretts
Leighmoney,51.7458754256,-8.606939844,Kinalea
St. Patrick's,52.6690933542,-8.6040214133,Clanwilliam
Inishkeel,54.8355570023,-8.2318707749,Banagh
Rathcormack,52.0800399148,-8.3311531295,Barrymore
Bridgetown,52.138695607,-8.4637476051,Fermoy
Kilkerrin,53.552918678,-8.5488528098,Tiaquin
Killokenne,52.7928777922,-8.580431111,Tulla Lower
Kilvarnet,54.1346658934,-8.5828581716,Leyny
Solloghod-More,52.5282334048,-8.2096558083,Clanwilliam
St Peter's & St Paul's,52.4023188063,-8.5772178943,Kilmallock
Currykippane,51.911288991,-8.5499828024,Cork
Kilkeevin,53.7654812915,-8.5303831224,Castlereagh
Kilfree,53.9873164193,-8.5177098035,Coolavin
Grange,53.2930763784,-8.5235526102,Kilconnell
Whitechurch,52.1044062984,-7.7394263723,Barretts
Caherconlish,52.5969816784,-8.4553294765,Clanwilliam
Ringcurran,51.716002561,-8.5148051787,Kinsale
Carrigparson,52.6251850577,-8.5317555032,Clanwilliam
Kilmacowen,54.2382891108,-8.5234569041,Carbury
Kilcroan,53.6796113683,-8.4927592905,Ballymoe
Ballymacward,53.3832211981,-8.4982964567,Kilconnell
Kilbreedy Major,52.4092257547,-8.5211912077,Coshlea
Upper Killybegs,54.6635048171,-8.4642644031,Banagh
Killoscobe,53.4318681023,-8.5573394215,Tiaquin
Athneasy,52.4228364564,-8.4899953641,Smallcounty
Caherelly,52.5523891306,-8.5046629632,Clanwilliam
Ballysadare,54.1823187284,-8.5240270808,Tirerrill
Killeenagarriff,52.6663551171,-8.4882114783,Clanwilliam
Templecrone,54.9686692674,-8.3573747105,Boylagh
St. John's,54.2483456229,-8.4640443699,Carbury
Killian,53.5189885963,-8.4287537497,Killian
Clontead,51.7280687698,-8.5218680558,Kinsale
Ahamlish,54.4090893825,-8.4811163612,Carbury
Moynoe,52.9646660769,-8.5215020219,Tulla Upper
Ballybrood,52.5582035977,-8.4542198971,Clanwilliam
Drumatemple,53.6975303046,-8.4149840877,Ballymoe
Killaan,53.3015614864,-8.4803909868,Kilconnell
Ballinard,52.5234734886,-8.4540843229,Smallcounty
Cullen,51.7714186279,-8.4712032648,Kinalea
Duniry,53.1512969917,-8.4162196326,Leitrim
Killosolan,53.4469431046,-8.4291962843,Tiaquin
Kilreekil,53.2394466533,-8.4726062604,Leitrim
Kilvellane,52.7018545915,-8.389865622,Owney and Arra
Kilcummer,52.1454386388,-8.4356487882,Fermoy
Kilmacallan,54.1216986692,-8.3599163661,Tirerrill
Killaghtee,54.6618386276,-8.3740303384,Banagh
Inishcaltra,52.9474282568,-8.4518853362,Leitrim
Ardcarn,54.0019841967,-8.1862952947,Boyle
Kilfrush,52.4514439783,-8.4166951746,Smallcounty
Rossinver,54.4163396735,-8.2530948319,Carbury
Tuoghcluggin,52.549561587,-8.2951856155,Coonagh
Dromkeen,52.5750646606,-8.4029276939,Clanwilliam
Castletownarra,52.8832916828,-8.3739149569,Owney and Arra
Calry,54.2796468359,-8.4027376889,Carbury
Killallaghtan,53.2827202089,-8.3966109877,Kilconnell
Abington,52.6531657933,-8.3943629045,Owneybeg
Kilteely,52.5229737167,-8.3922163559,Coonagh
Killybegs Lower,54.7545751538,-8.3527792737,Banagh
Grean,52.5565673116,-8.3625348282,Coonagh
Ballyscaddan,52.4202518424,-8.3727129717,Coshlea
Killerry,54.2127310141,-8.3674605129,Tirerrill
Killimorbologue,53.1679982294,-8.2890949709,Longford
Killoscully,52.7610763674,-8.2960022257,Owney and Arra
Kilbegnet,53.5990371689,-8.398132384,Ballymoe
Fuerty,53.6183421063,-8.2771735651,
Killasnet,54.3404218751,-8.2648706341,Rosclogher
Ahascragh,53.4103218991,-8.3053855958,Clonmacnowen
Tulacha Beigile,55.06956528,-8.1855113557,Kilmacrenan
Templebredon,52.5027989957,-8.3370229327,Coonagh
Drumlease,54.2709719018,-8.2890635472,Drumahaire
Little Island,51.8972512863,-8.3492399861,Barrymore
Killeroran,53.4929221684,-8.325864461,Killian
Oran,53.6715838975,-8.3329400651,Ballymoe
Killadoon,54.0945288046,-8.3116491508,Tirerrill
Shancough,54.1284050848,-8.2582592474,Tirerrill
Carrigtohill,51.9245771416,-8.2617087443,Barrymore
Boyle,53.9789063669,-8.3137679194,Boyle
Clontuskert,53.2775315002,-8.2289959735,Clonmacnowen
Youghalarra,52.8648756917,-8.3175997075,Owney and Arra
Templerobin,51.8671850546,-8.2528634849,Barrymore
Lettermacaward,54.9105672613,-8.2339612915,Boylagh
Clonbeg,52.4073218636,-8.2027421523,Clanwilliam
Lickmolassy,53.0981000379,-8.2558671454,Longford
Kilcloony,53.32574942,-8.2642336281,Clonmacnowen
Shronell,52.4789897907,-8.2436549282,Clanwilliam
Cloonlogher,54.2669553627,-8.1948896252,Drumahaire
Terryglass,53.0455543493,-8.1990587084,Lower Ormond
Nenagh,52.8573427434,-8.2053301595,Lower Ormond
Cloyne,51.8531507268,-8.0982797057,Imokilly
Kilmactranny,54.084686667,-8.2438007908,Tirerrill
Rahara,53.5329142929,-8.1354134796,Athlone
Borrisokane,53.0009488196,-8.1427086655,Lower Ormond
Creagh,51.5215064987,-9.3068664152,Moycarn
Dolla,52.7614343778,-8.1647603994,Upper Ormond
St Mary's,53.423704142,-7.9108169983,Brawny
Reynagh,53.1716937958,-7.94473008,Garrycastle
Lismore and Mocollop,52.1643764233,-7.963822789,Coshmore and Coshbride
Neddans,52.3046256506,-7.8456029819,Iffa and Offa West
Drom,52.7633895952,-7.8874440407,Eliogarty
Clondulane,52.1406921915,-8.2328461738,Condons and Clangibbon
Moore,53.3228235388,-8.0902072537,Moycarn
Clondahorky,55.1407946504,-7.9541711861,Kilmacrenan
Templenacarriga,51.9731288543,-8.1854096143,Barrymore
Tullyfern,55.0815599691,-7.670066141,Kilmacrenan
Kilbeheny,52.3234746653,-8.2289092941,Coshlea
St Marys Clonmel,52.3141161704,-7.6579867823,Glenahiry
Derrygrath,52.355780197,-7.8404778678,Iffa and Offa West
Athleague,53.5640277124,-8.2682299804,Athlone
Loughkeen,53.0640624886,-7.9727655606,Lower Ormond
Toem,52.6197224598,-8.1479450383,Kilnamanagh Upper
Ballyspillane,51.9525319743,-8.162103038,Barrymore
Killesher,54.2530614149,-7.7706981927,Clanawley
Kilruane,52.8977820277,-8.1470576458,Upper Ormond
Ardcrony,52.9416405993,-8.1460266522,Lower Ormond
Drumhome,54.5996103228,-8.0620879606,Tirhugh
Termonbarry,53.7810261274,-7.9274819951,Ballintober North
Donohill,52.5772023218,-8.1117070055,Clanwilliam
Killymard,54.7226208053,-8.1033701809,Banagh
Rostellan,51.8389069078,-8.1690136683,Imokilly
Lisbunny,52.8594624988,-8.148631402,Upper Ormond
Killarga,54.224384886,-8.1555967769,Drumahaire
Killukin,53.7480295683,-8.2068425509,Boyle
Cloonclare,54.3007995404,-8.0673002341,Drumahaire
Kiltrustan,53.8163714395,-8.1018248252,Roscommon
Aglishcloghane,53.0486501972,-8.0979445921,Lower Ormond
Meelick,53.9326023154,-9.0132550846,Longford
Gartan,54.9959790206,-7.9970429177,Kilmacrenan
Templeneiry,52.4113576938,-8.081494431,Clanwilliam
Donaghmore,54.7673897944,-7.736733099,Raphoe South
Kilmeane,53.5835908853,-8.1222842313,Athlone
Aghacrew,52.5791847473,-8.1183427466,Kilnamanagh Lower
Dungourney,51.970007722,-8.1164022847,Barrymore
Cleenish,54.3160367562,-7.7807528462,Clanawley
Cashel,53.581754637,-7.9342742881,Rathcline
Kilronan,54.0770043799,-8.1255994037,Boyle
Inishmagrath,54.1641960308,-8.1161780176,Drumahaire
Kilnaneave,52.778400081,-8.117993228,Upper Ormond
Aughrim,53.2982576483,-8.3462005165,Roscommon
Kilbride,52.589067207,-6.4204913049,Ballintober South
Ballymackey,52.8716078571,-8.0756806511,Upper Ormond
Kilgefin,53.6904967159,-8.0881654999,Ballintober South
Aghnameadle,52.8266539717,-8.0058922353,Upper Ormond
Rathkennan,52.6232615508,-7.9167164389,Kilnamanagh Lower
Kinawley,54.1827382333,-7.743598502,Tullyhaw
Kilkeary,52.8285309447,-8.0877024166,Upper Ormond
Mohill,53.9024663154,-7.8900391002,Mohill
Uskane,53.0073648411,-8.0797633052,Lower Ormond
Allsaints,54.9920895677,-7.4841239329,Raphoe North
Glenkeen,52.7528423618,-7.9938829207,Kilnamanagh Upper
Killinvoy,53.564029455,-8.0793944382,Athlone
Clonmacnoise,53.3061444477,-7.9507952537,Garrycastle
Raymunterdoney,55.118826324,-8.0472655071,Kilmacrenan
Drumreilly,54.1219730905,-7.8451366992,Drumahaire
Offerlane,53.0097967681,-7.5704509231,Upperwoods
Clonmult,52.0062127416,-8.1053505348,Barrymore
Kilfeakle,52.4848496807,-8.0594639827,Clanwilliam
